,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_km__n_clusters,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.296469116,0.047932332,0.000800085,0.000400043,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 2}",0.340659341,0.309392265,0.194986072,0.274509804,0.292957746,0.282693378,0.048940059,167,0.360781577,0.374912892,0.277468707,0.233333333,0.273925104,0.304084323,0.054506764
1,0.673952675,0.13407434,0.001000309,3.23E-07,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 5}",0.681318681,0.671270718,0.682451253,0.719887955,0.647887324,0.680578742,0.023159721,98,0.711095604,0.740069686,0.754520167,0.700694444,0.730235784,0.727323137,0.019406476
2,0.616140175,0.033276161,0.001000071,1.17E-07,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 10}",0.81043956,0.759668508,0.743732591,0.795518207,0.726760563,0.767390095,0.03134499,73,0.829727844,0.849477352,0.835883171,0.817361111,0.829403606,0.832370617,0.010450369
3,0.669951916,0.06463781,0.000999928,3.37E-07,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 15}",0.807692308,0.79558011,0.757660167,0.74789916,0.76056338,0.774067891,0.023411441,66,0.829727844,0.888501742,0.823365786,0.791666667,0.853675451,0.837387498,0.032322242
4,0.786578417,0.061650288,0.001000309,3.23E-07,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 20}",0.791208791,0.828729282,0.838440111,0.843137255,0.771830986,0.814691152,0.028066494,12,0.805303559,0.88641115,0.874826147,0.865972222,0.876560333,0.861814682,0.028991415
5,0.95241642,0.134513996,0.001200056,0.0003999,0.1,"(50, 50)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 25}",0.848901099,0.776243094,0.838440111,0.857142857,0.794366197,0.823038397,0.03189799,3,0.861828332,0.861324042,0.874826147,0.868055556,0.882108183,0.869628452,0.007937743
6,0.846992254,0.023782748,0.001200342,0.000399995,0.1,"(50, 50)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 30}",0.807692308,0.740331492,0.810584958,0.854341737,0.763380282,0.795214246,0.039752501,41,0.835310537,0.845993031,0.867872045,0.877083333,0.877253814,0.860702552,0.017057551
7,0.891002131,0.107112392,0.001200247,0.000399923,0.1,"(50, 50)",35,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 35}",0.813186813,0.798342541,0.835654596,0.826330532,0.757746479,0.806343907,0.027201706,22,0.809490579,0.865505226,0.870653686,0.854861111,0.860610264,0.852224173,0.021997606
8,0.976221514,0.16672305,0.001400566,0.000489999,0.1,"(50, 50)",40,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 40}",0.837912088,0.834254144,0.835654596,0.823529412,0.763380282,0.819143016,0.028105658,8,0.867411026,0.920557491,0.867176634,0.846527778,0.860610264,0.872456639,0.025217736
9,0.224851179,0.072000804,0.000600147,0.000490018,0.1,"(50,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 2}",0.354395604,0.168508287,0.306406685,0.179271709,0.216901408,0.245409015,0.073281446,171,0.336357292,0.18466899,0.296244784,0.181944444,0.224687933,0.244780689,0.061644718
10,0.359881592,0.07997171,0.000600243,0.000490096,0.1,"(50,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 5}",0.442307692,0.61878453,0.584958217,0.62745098,0.645070423,0.583194213,0.073633387,136,0.491974878,0.672473868,0.617524339,0.625694444,0.715672677,0.624668041,0.075135614
11,0.467105961,0.1241457,0.001200247,0.000400162,0.1,"(50,)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 10}",0.791208791,0.709944751,0.735376045,0.806722689,0.183098592,0.646633278,0.232707902,116,0.806699232,0.801393728,0.836578581,0.786805556,0.19556172,0.685407763,0.245457792
12,0.535521555,0.127861214,0.000799894,0.000399947,0.1,"(50,)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 15}",0.832417582,0.770718232,0.78551532,0.176470588,0.729577465,0.65998887,0.242986937,107,0.829030007,0.873867596,0.806675939,0.159722222,0.84257975,0.702375103,0.272198198
13,0.657349205,0.069125468,0.001000214,9.54E-08,0.1,"(50,)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 20}",0.804945055,0.70718232,0.788300836,0.87394958,0.771830986,0.789092933,0.053777154,51,0.838101884,0.848083624,0.859527121,0.859722222,0.886269071,0.858340784,0.016112898
