,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_km__n_clusters,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0,0.17870720227559408,0.010340982462973044,0.0010003248850504558,1.1239159602905075e-07,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 2}",0.5,0.5,0.5,0.5,0.0,124,0.5,0.5,0.5,0.5,0.0
1,0.27772951126098633,0.08227975218686938,0.0010006427764892578,5.150429962800233e-07,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 5}",0.5016447368421053,0.5016501650165016,0.5412541254125413,0.5148351648351648,0.018665631969629438,14,0.5,0.5131795716639209,0.5403624382207578,0.5178473366282262,0.01680521004733591
2,0.26639358202616376,0.021081588166601592,0.0010004043579101562,1.9466795466607238e-07,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 10}",0.5,0.5033003300330033,0.528052805280528,0.5104395604395604,0.012516948981442304,26,0.5008250825082509,0.4827018121911038,0.5164744645799012,0.5000004530930853,0.013799952236581663
3,0.34607863426208496,0.009203485626487078,0.0010004043579101562,3.371747880871523e-07,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 15}",0.5082236842105263,0.47194719471947194,0.4900990099009901,0.4901098901098901,0.014813864781911332,178,0.5214521452145214,0.5436573311367381,0.5411861614497528,0.5354318792670041,0.009936511562215944
4,0.3340760866800944,0.012195719101101133,0.0010003248850504558,2.247831920581015e-07,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 20}",0.5,0.5066006600660066,0.5,0.5021978021978022,0.0031107251082907092,99,0.5,0.5107084019769358,0.5,0.5035694673256453,0.005047989102375152
5,0.3697504202524821,0.044464902764303656,0.0010000864664713542,2.247831920581015e-07,0.1,"(50, 50)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 25}",0.5016447368421053,0.5082508250825083,0.5,0.5032967032967033,0.0035640638055630647,87,0.5198019801980198,0.5222405271828665,0.5098846787479407,0.5173090620429424,0.005343390205518744
6,0.3967570463816325,0.040343086501202434,0.0010002454121907551,1.1239159602905075e-07,0.1,"(50, 50)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 30}",0.4934210526315789,0.5,0.5033003300330033,0.4989010989010989,0.004108330276447909,132,0.5008250825082509,0.515650741350906,0.5041186161449753,0.5068648133347108,0.006356426631548211
7,0.4140973885854085,0.046685327885931695,0.0013335545857747395,0.0004714827453418679,0.1,"(50, 50)",35,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 35}",0.5,0.5165016501650165,0.5,0.5054945054945055,0.007776812770726799,65,0.5,0.5296540362438221,0.5,0.5098846787479406,0.013979046745038854
8,0.4164279301961263,0.016683848863617637,0.0010000069936116536,1.1239159602905075e-07,0.1,"(50, 50)",40,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 40}",0.5,0.49834983498349833,0.5,0.49945054945054945,0.0007776812770726903,126,0.5,0.5041186161449753,0.5049423393739704,0.5030203185063152,0.002162001063704521
9,0.1717057228088379,0.02793871316924978,0.0006666978200276693,0.00047142655959197545,0.1,"(50,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 2}",0.5016447368421053,0.4966996699669967,0.504950495049505,0.5010989010989011,0.0033886591612969905,115,0.4975247524752475,0.5049423393739704,0.5024711696869851,0.5016460871787344,0.0030839065819284342
