,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_filter__n,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.5265215873718262,0.06823890478948262,0.07741775512695312,0.003002511820174521,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 2}",0.3626373626373626,0.3342541436464088,0.3955431754874652,0.3333333333333333,0.38591549295774646,0.3622704507512521,0.02561475571392257,252,0.4228890439637125,0.38397212543554005,0.39290681502086233,0.37222222222222223,0.40360610263522884,0.39511926185551316,0.017300955234247947
1,0.5625276088714599,0.06337223495223927,0.07461681365966796,0.0025776581764626514,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 5}",0.739010989010989,0.5331491712707183,0.6713091922005571,0.6386554621848739,0.7014084507042253,0.6566499721758486,0.07035344371524192,232,0.7341242149337055,0.6613240418118467,0.7420027816411683,0.7236111111111111,0.7496532593619972,0.7221430817719657,0.03160973215191918
2,0.6295406341552734,0.06020713960980291,0.07501697540283203,0.0032871708929486355,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 10}",0.8131868131868132,0.8204419889502762,0.8217270194986073,0.8095238095238095,0.8366197183098592,0.8202559821925431,0.009292073686709585,205,0.8576413119330076,0.9010452961672474,0.9068150208623088,0.8895833333333333,0.9257975034674064,0.8961764931526608,0.022550910024762935
3,0.7101592063903809,0.09969973273842077,0.07721953392028809,0.0027860192614992843,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 15}",0.8763736263736264,0.8480662983425414,0.9052924791086351,0.8991596638655462,0.8591549295774648,0.8775737340011129,0.022108187683316093,172,0.9623168178646196,0.9742160278745644,0.958970792767733,0.9506944444444444,0.9507628294036061,0.9593921824709936,0.008701653120605776
4,0.6527500629425049,0.09610189728366621,0.07481522560119629,0.0026403711776326073,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 20}",0.9340659340659341,0.8176795580110497,0.9192200557103064,0.9215686274509803,0.8760563380281691,0.8937117417918754,0.042896825779074436,140,0.9790648988136776,0.9777003484320558,0.952712100139082,0.9756944444444444,0.9667128987517337,0.9703769381161986,0.009827111055731549
5,0.6179402828216553,0.025021001724067033,0.07721929550170899,0.0022285017590198872,0.1,"(50, 50)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 25}",0.9175824175824175,0.8480662983425414,0.958217270194986,0.9327731092436975,0.8873239436619719,0.9087367835281024,0.038102913544956145,86,0.9734822051639916,0.9679442508710802,0.9728789986091794,0.9722222222222222,0.9729542302357836,0.9718963814204514,0.0020161808306117563
6,0.562527847290039,0.04740533740745891,0.07261648178100585,0.0004902907647264569,0.1,"(50, 50)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 30}",0.9093406593406593,0.8950276243093923,0.9387186629526463,0.9131652661064426,0.8647887323943662,0.904284919309961,0.02414851159392793,101,0.9630146545708305,0.9818815331010453,0.9680111265646731,0.9534722222222223,0.9667128987517337,0.966618487042101,0.009173012815902593
7,0.5925365447998047,0.034504393416728424,0.07661948204040528,0.0053196333191918655,0.1,"(50, 50)",35,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 35}",0.9230769230769231,0.8756906077348067,0.9526462395543176,0.9495798319327731,0.895774647887324,0.9193099610461881,0.029993768026728398,53,0.9825540823447313,0.9825783972125436,0.9798331015299027,0.9798611111111111,0.9729542302357836,0.9795561844868145,0.0035178580003667826
8,0.6313453197479248,0.11300420529270329,0.07661933898925781,0.0030096440841908935,0.1,"(50, 50)",40,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 40}",0.9478021978021978,0.925414364640884,0.9610027855153204,0.9467787114845938,0.8901408450704226,0.9343350027824151,0.02472748805150437,4,0.9895324494068388,0.981184668989547,0.9965229485396384,0.9861111111111112,0.9694868238557559,0.9845676003805781,0.009042527812743856
9,0.6067378520965576,0.02723570927499569,0.07621736526489258,0.004020833204292476,0.1,"(50, 50)",45,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 45}",0.9285714285714286,0.9116022099447514,0.935933147632312,0.9635854341736695,0.9014084507042254,0.9282136894824707,0.021401497091117525,19,0.9797627355198884,0.9881533101045297,0.9867872044506258,0.9777777777777777,0.9854368932038835,0.983583584211341,0.004071525627212808
