,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_km__n_clusters,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.35748114585876467,0.07804462572905539,0.0010003089904785157,1.9073486328124998e-07,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 2}",0.3516483516483517,0.2955801104972376,0.2618384401114206,0.3277310924369748,0.3211267605633803,0.3116304952698943,0.030673985113754135,163,0.34542916957431963,0.29895470383275263,0.28789986091794156,0.2916666666666667,0.34535367545076284,0.3138608152884887,0.02598886214178787
1,0.5967352867126465,0.10393804266789101,0.001200389862060547,0.00040020949789696785,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 5}",0.6153846153846154,0.6464088397790055,0.5515320334261838,0.6162464985994398,0.5492957746478874,0.5959933222036727,0.03867032182635689,128,0.6120027913468249,0.7337979094076655,0.6432545201668984,0.6006944444444444,0.5991678224687933,0.6377834975669254,0.050557120977022654
2,0.7663740634918212,0.05042654256916738,0.0010003089904785157,1.9073486328125e-07,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 10}",0.771978021978022,0.7154696132596685,0.7576601671309192,0.7983193277310925,0.7464788732394366,0.7579298831385642,0.027443759932851898,39,0.782274947662247,0.8564459930313589,0.8150208623087621,0.8159722222222222,0.8002773925104022,0.8139982835469984,0.02450054298247745
3,0.6671512603759766,0.05238307449862777,0.001000213623046875,1.784161275279017e-07,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 15}",0.7362637362637363,0.7237569060773481,0.7186629526462396,0.7815126050420168,0.6816901408450704,0.7284362826933779,0.03205075047737164,68,0.7592463363572924,0.8118466898954704,0.7767732962447844,0.7722222222222223,0.776005547850208,0.7792188185139955,0.017485628851053137
4,0.7101610183715821,0.20064952206746786,0.0010001659393310547,2.132480599880018e-07,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 20}",0.1813186813186813,0.7375690607734806,0.6935933147632312,0.6694677871148459,0.7154929577464789,0.5982192543127435,0.21133044588395997,125,0.1688764829030007,0.8285714285714286,0.7976356050069541,0.73125,0.8294036061026352,0.6711474245168036,0.25365922582699674
5,0.8221865653991699,0.1410071060106439,0.0010001182556152344,2.78041453115716e-07,0.1,"(50, 50)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 25}",0.7994505494505495,0.6850828729281768,0.6963788300835655,0.8067226890756303,0.704225352112676,0.7384529771841959,0.053277351265624516,55,0.7843684577808793,0.8069686411149826,0.8136300417246175,0.8201388888888889,0.7919556171983356,0.8034123293415407,0.013347300035703237
6,0.8675968170166015,0.060427530966983375,0.0010003089904785157,2.431401974483864e-07,0.1,"(50, 50)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 30}",0.7774725274725275,0.6685082872928176,0.7298050139275766,0.8179271708683473,0.7154929577464789,0.7417918753478019,0.05154280720418936,54,0.8094905792044662,0.7937282229965157,0.827538247566064,0.8548611111111111,0.8002773925104022,0.8171791106777118,0.022008955449964673
7,0.9444145202636719,0.11746808359097333,0.0010000705718994141,4.90933901833868e-07,0.1,"(50, 50)",35,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 35}",0.782967032967033,0.7265193370165746,0.7688022284122563,0.84593837535014,0.7690140845070422,0.778519755147468,0.03858012820726931,14,0.8080949057920447,0.818815331010453,0.8560500695410292,0.86875,0.8446601941747572,0.8392741001036568,0.022671458820887287
8,1.007828950881958,0.09113950811166704,0.0010001659393310547,1.5078914929239175e-07,0.1,"(50, 50)",40,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 40}",0.7994505494505495,0.7154696132596685,0.754874651810585,0.7927170868347339,0.7436619718309859,0.7612687813021702,0.03136456678609213,34,0.8304256803907886,0.8543554006968641,0.8630041724617524,0.8125,0.834257975034674,0.8389086457168158,0.017945487765130323
9,0.2588608741760254,0.11955785683633423,0.0007999420166015625,0.00039997100830078123,0.1,"(50,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 2}",0.2664835164835165,0.18232044198895028,0.2562674094707521,0.20168067226890757,0.19154929577464788,0.21981079577072898,0.034828046700830735,171,0.2435450104675506,0.18885017421602787,0.3157162726008345,0.19652777777777777,0.19625520110957004,0.22817888723435215,0.047888565886485365
