,0,1,2,3,4,5,6,7,8,9
2,0.0822192731442105,0.07445464537411621,0.07680572360270768,0.07496780022321813,0.07050155469301106,0.08025667522333184,0.07771474922793918,0.06185121726814008,0.06603050918316392,0.09103868263081055
5,0.13140425036044315,0.13781366553506125,0.1310005300844332,0.1261847558666163,0.11814199358734531,0.10068453507426939,0.12409100767025485,0.12936972966883245,0.11661106658596032,0.11632108786660338
10,0.18669394204619677,0.17578914441112461,0.1669244726774658,0.17310012055717655,0.17951124928451145,0.16637633956132067,0.16108553900568304,0.178505596269376,0.1758898527176075,0.1836557402529234
15,0.2329714503391745,0.21980379482871198,0.22523919217412766,0.23515747852998753,0.20516903699915937,0.21137533521434743,0.21644316676283099,0.20244314237117567,0.2252420859958609,0.20553419382204147
20,0.26257436425512204,0.2605201221709391,0.25739684457168516,0.25568093265689457,0.2659165989469218,0.2635111587649799,0.24179064208123965,0.24930487069383936,0.24333572218229477,0.24887856856450846
25,0.29724973481360323,0.2560594052628121,0.284354902621921,0.28137088350069334,0.26852728213146226,0.27600600845408474,0.2688039377106274,0.27270773171651425,0.2866085009471819,0.2673117756819311
30,0.30486220154295285,0.2941540719609132,0.28862304552033746,0.3047662362109509,0.30230172639947744,0.28667263955217864,0.31942703393642935,0.29562675691580514,0.2976062367237233,0.3092008277309607
35,0.3032845279531358,0.33032649661667984,0.32098179304932123,0.33519303658672656,0.32602561757037934,0.30034359771671937,0.30786125126148345,0.3096787724549019,0.32240642575380457,0.323454166324949
40,0.34302717770756613,0.34752282864419926,0.3441682270974521,0.3577974687644077,0.33676319384450987,0.3337988387788763,0.32686362406921315,0.33648241326025957,0.3558843992092199,0.330369120465895
45,0.35507598684321934,0.3552888393806081,0.36665738448763957,0.3489764065169667,0.36813202014847596,0.3688814467315977,0.3586754664929942,0.34495963614475794,0.3437773526044442,0.35934925444947474
50,0.38007533154111556,0.3745853488583411,0.37001587138238373,0.3695553388038865,0.36954620002724314,0.3792463088636522,0.36764049008924293,0.3719997516104024,0.385151032405666,0.37736552228669024
55,0.3806783065731029,0.39131855154625766,0.4002944401721197,0.3902133706289119,0.37974519686472474,0.3864196838760249,0.37699365515136063,0.38456664401146223,0.39385271965393215,0.4009285848989096
60,0.4035068836600993,0.3810906904249943,0.3999352875980078,0.4021559273702477,0.39480646467597497,0.41138046189066324,0.40691835588151315,0.39912331138738216,0.40034018056682946,0.4094755819229841
